autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
associação núcleo de quadrinhos do piauí;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
associação rede internacional de comunicação apostólica - rica;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
asteri;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
atatica studios;2;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0
atelier do ginzo;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
atlântida;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
atomic editora;3;1,0;0,0;1,0;2,0;2,0;0,0;0,0;0,0;0,0
aulicha;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
austrália premium;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
autismo em quadrinhos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
avec editora;3;2,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
aventuras do livro azul;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
avuá edições;3;0,0;0,0;0,0;3,0;3,0;0,0;0,0;0,0;0,0
ayrton rodrigues;3;0,0;0,0;0,0;3,0;0,0;3,0;0,0;0,0;0,0
b.j. fogueteiro;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
baby drawer;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
balaio secreto do lorde desenheiro;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
balão negro;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
bando celta;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
baphometes;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
basket360;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
bat/broken angel theory;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
